documento;arquivo;codigo_topico;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;sessoes_v4_1_fundidas;tipos_sessao_v4_1;conteudos_v4_1;decisao_pedagogica
29;029_M1_02_BLOCOS_CHAVES_INDENTACAO_E_LEITURA_DE_CODIGO.md;M1.02;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Blocos, chaves, indentação e leitura de código;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
30;030_M1_03_COMENTARIOS_UTEIS_E_DOCUMENTACAO_INICIAL.md;M1.03;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Comentários úteis e documentação inicial;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
31;031_M1_04_VARIAVEIS_E_NOMES_PROFISSIONAIS.md;M1.04;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Variáveis e nomes profissionais;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
32;032_M1_05_TIPOS_INTEIROS_EM_JAVA.md;M1.05;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos inteiros em Java;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
33;033_M1_06_TIPOS_DECIMAIS_E_PRIMEIRAS_LIMITACOES.md;M1.06;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Tipos decimais e primeiras limitações;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
34;034_M1_07_BOOLEAN_E_REGRAS_VERDADEIRAS_FALSAS.md;M1.07;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;boolean e regras verdadeiras/falsas;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
35;035_M1_08_CHAR_UNICODE_E_TEXTO_INICIAL.md;M1.08;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;char, Unicode e texto inicial;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;caractere, aspas simples, diferença para String e uso real limitado. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | caractere, aspas simples, diferença para String e uso real limitado. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | caractere, aspas simples, diferença para String e uso real limitado. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | caractere, aspas simples, diferença para String e uso real limitado. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
36;036_M1_09_STRING_BASICA.md;M1.09;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;String básica;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;concatenação, length, isEmpty, isBlank, equals, equalsIgnoreCase, contains e trim. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | concatenação, length, isEmpty, isBlank, equals, equalsIgnoreCase, contains e trim. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | concatenação, length, isEmpty, isBlank, equals, equalsIgnoreCase, contains e trim. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | concatenação, length, isEmpty, isBlank, equals, equalsIgnoreCase, contains e trim. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
37;037_M1_10_ENTRADA_DE_DADOS_COM_SCANNER.md;M1.10;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Entrada de dados com Scanner;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;nextLine, nextInt, nextDouble, limpeza de buffer, Locale e fechamento. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | nextLine, nextInt, nextDouble, limpeza de buffer, Locale e fechamento. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | nextLine, nextInt, nextDouble, limpeza de buffer, Locale e fechamento. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | nextLine, nextInt, nextDouble, limpeza de buffer, Locale e fechamento. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
38;038_M1_11_OPERADORES_ARITMETICOS.md;M1.11;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Operadores aritméticos;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;soma, subtração, multiplicação, divisão, resto, precedência e parênteses. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | soma, subtração, multiplicação, divisão, resto, precedência e parênteses. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | soma, subtração, multiplicação, divisão, resto, precedência e parênteses. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | soma, subtração, multiplicação, divisão, resto, precedência e parênteses. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
